has_usable_ace,FALSE,,,,,,,,,,
,,,,,,,,,,,
Average of stick_prob,Column Labels,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,Grand Total
21,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
20,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
19,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
18,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
17,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
16,0.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.500
15,0.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,0.600
14,0.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.500
13,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.300
12,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.100
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Grand Total,0.455,0.727,0.727,0.818,0.818,0.909,0.455,0.455,0.455,0.545,0.636